,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,1,Eclair Mace,H,4,False,Th.Dromigny,G.Contri,18070,"[8, 6, 5, 7]",[],63,155,5,84.16666666666667
1,1,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,2,Espion Jaune,H,4,False,A.Abrivard,Ch.Clin,43790,"[2, 4, 1]",[7],8.3,10,False,False
2,2,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,3,Easy Turgot,H,4,deferre_posterieurs,V.Saussaye,S.Roger,46200,"[7, 8]","[4, 'D']",21,54,4,76.5
3,3,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,4,Elino Bilou,H,4,False,M.Abrivard,Th.Duvaldestin,57610,"[1, 2, 1, 'D']",[],1.9,2,2,74.0
4,4,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,5,Excelsior,H,4,deferre_anterieurs_posterieurs,Y.Lebourgeois,J.p.Allix,66090,"[5, 3, 2, 2]",[],3.7,2.6,False,74.0
5,5,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,6,El Diablo D'aut,M,4,deferre_posterieurs,E.Raffin,V.Raimbault,67610,[],"['D', 1, 6, 4]",6.8,8.2,3,74.16666666666667
6,6,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,7,Espoir Anvalou,M,4,False,A.Lamy,A.Dubois,68670,['D'],"['D', 'D', 6]",17,22,False,False
7,64,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,1,Bombe De Caillo.,F,7,False,Mlle.ClaraDersoir,MmeC.Hallais-de.,107790,"[6, 6, 9]",['D'],38,109,9,76.66666666666667
8,65,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,2,Bali Du Pouet D.,F,7,False,Mlle.Ch.Lefebvre,MmeG.Masschaele,107900,"[3, 5, 3]",[9],31,48,1,77.16666666666667
9,66,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,3,Benjamine Gede,F,7,deferre_posterieurs,L.Jublot,A.Pillon,139780,"[3, 7, 'D']",[0],20,24,3,76.33333333333333
10,67,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,4,Belle Katie,F,7,deferre_anterieurs_posterieurs,J.y.Ricart,J.m.Bazire,146490,"[2, 'D']","['D', 0]",4.5,4.3,6,76.0
11,68,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,5,Barack,H,7,False,Mlle.O.Briand,L.cl.Abrivard,151260,"[4, 3, 'D', 5]",[],14,12,7,76.16666666666667
12,69,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,6,Bolero Du Levant,H,7,deferre_anterieurs,A.Rebeche,D.Bethouart,155730,"[1, 2, 3]",[2],2.8,3,False,75.83333333333333
13,70,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,7,Beltis D'occagn.,F,7,deferre_posterieurs,R.Marty,A.RipollRigo,157500,"[4, 1, 0]",[8],15,8.8,5,76.5
14,71,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,8,Bad Boy Terrie,H,7,False,A.Angot,B.Angot,160880,"['D', 7, 4, 2]",[],28,52,1,77.83333333333333
15,72,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,9,Baron Du Bourg,H,7,False,J.Balu,J.g.VanEeckhaute,161330,"[1, 5, 0, 4]",[],15,16,2,76.33333333333333
16,73,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,10,Banco De L'iton,H,7,deferre_anterieurs,M.Pean,HughesLevesque,162590,"[7, 6, 6, 6]",[],43,64,1,78.16666666666667
17,74,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,11,Ball Trap,H,7,deferre_anterieurs_posterieurs,Mlle.M.Asseline,J.w.Hallais,164540,"[4, 2, 6]",[0],9.2,9,4,76.5
18,75,VINCENNES, 13h38,1 Jan,52000,2850,12,gauche,10,40,12,Bambino Du Pre,H,7,deferre_anterieurs_posterieurs,V.Saussaye,G.Thorel,168960,"[5, 4]","['D', 0]",8.3,7.5,8,76.16666666666667
19,94,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,1,Democrat Renka,H,5,False,Mlle.Ch.Lefebvre,E.Varin,13100,[],"[5, 4, 8, 'D']",43,93,False,False
20,95,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,2,Darius Du Loche.,H,5,False,JulienRaffestin,D.Brohier,13560,"['A', 8]","[8, 5]",11,30,False,False
21,96,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,3,Diamant De Malac,M,5,False,Th.Viet,J.f.Senet,16870,[],"['D', 6, 'D', 'D']",30,102,6,79.16666666666667
22,97,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,4,Django Du Jaguy,H,5,False,Th.Dromigny,M.Dupuis,19740,"[7, 'D', 9]",['D'],69,162,8,80.5
23,98,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,5,Divin,H,5,deferre_anterieurs_posterieurs,M.Mottier,D.Mottier,24910,[5],"['D', 1, 8]",5.7,5.5,False,75.0
24,99,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,6,Dynamique Style,M,5,False,F.Desmigneux,AndersLindqvist,29730,"[7, 4]","['D', 0]",37,49,False,False
25,100,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,7,Desir Bay,H,5,deferre_anterieurs_posterieurs,Cl.ch.Vaugrante,J.VanEeckhaute,30950,"[4, 4, 5, 8]",[],10,7.2,3,77.16666666666667
26,101,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,8,Desir D'ariane,H,5,False,D.Thomain,D.Bethouart,31310,[],"['D', 'D', 'D', 0]",9.2,7.5,False,False
27,102,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,9,Diademe Du Cebe,H,5,deferre_anterieurs_posterieurs,A.Lamy,F.Leblanc,31600,[],"['D', 0, 7, 8]",3.6,5.4,4,77.5
28,103,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,10,Deci Dela,H,5,False,F.Nivard,LoicGroussard,32190,"[7, 8, 9, 0]",[],16,22,7,79.5
29,104,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,11,Domino Thieben,H,5,deferre_anterieurs_posterieurs,F.Lagadeuc,Ch.Ecalard,33420,"[3, 6, 3, 7]",[],5.7,3,2,75.66666666666667
30,105,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,12,Django Leman,H,5,False,A.Angot,M.Bezier,34320,[],"[7, 3, 7, 1]",19,22,5,77.5
31,106,VINCENNES, 14h38,1 Jan,34000,2850,13,gauche,10,40,13,Dandy Du Rosay,H,5,False,D.Bonne,O.Tirard,35270,"[6, 'D', 'D', 8]",[],28,35,False,False
32,132,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,1,Castelorienne,F,6,deferre_posterieurs,Ch.Bouteiller,Y.Lizee,27020,"[8, 4]","[9, 4]",50,73,9,77.33333333333333
