,id,lieu,heure,jour,prix,distance,nombre de partants,corde,température,vent,numero de départ,nom cheval,sexe cheval,age cheval,fer,driver,entraineur,gain,musique monté,musique attelé,cote ouverture,cote fermeture,place,temps : en secondes
0,0,VINCENNES, 13h15,1 Jan,36000,2700,9,gauche,8,11,1,Braqueur De Bray,H,5,False,AurelienDesmarres,S.Desmarres,18700,"['D', 'D']","[3, 'D']",20,26,False,False
1,1,VINCENNES, 13h15,1 Jan,36000,2700,9,gauche,8,11,2,Black Hole Sun,H,5,deferre_anterieurs,Y.Jublot,F.Leblanc,31780,"[5, 'D', 4, 'D']",[],6,6.2,False,False
2,2,VINCENNES, 13h15,1 Jan,36000,2700,9,gauche,8,11,3,Blueberry De Co.,H,5,False,A.ph.Grimault,A.Hubert,32270,"[1, 6]","['D', 0]",8.5,8,6,79.0
3,3,VINCENNES, 13h15,1 Jan,36000,2700,9,gauche,8,11,4,Bolide Jiel,M,5,deferre_posterieurs,B.Rochard,J.l.Dersoir,36840,"[5, 4, 2, 0]",[],6.2,7.4,False,77.5
4,4,VINCENNES, 13h15,1 Jan,36000,2700,9,gauche,8,11,5,Bonchamp Gede,H,5,False,F.Prioul,M.Sassier,37000,"[0, 7]","[6, 'D']",29,19,5,78.0
5,5,VINCENNES, 13h15,1 Jan,36000,2700,9,gauche,8,11,6,Bistrot,H,5,False,False,Th.Devouassoux,37070,[],"[0, 8, 4, 3]",11,29,3,77.33333333333333
6,6,VINCENNES, 13h15,1 Jan,36000,2700,9,gauche,8,11,7,Bilbao Boy,M,5,deferre_anterieurs_posterieurs,L.Jublot,Y.Dreux,38140,"['D', 5, 7]",[0],5.5,4.6,False,False
7,7,VINCENNES, 13h15,1 Jan,36000,2700,9,gauche,8,11,8,Balou Du Paou,H,5,deferre_anterieurs,M.Kondritz,Y.j.LeBezvoet,39170,"['D', 4]","['D', 3]",5.5,4.3,2,77.16666666666667
8,8,VINCENNES, 13h15,1 Jan,36000,2700,9,gauche,8,11,9,Blason Du Bosqu.,H,5,deferre_posterieurs,Th.Dromigny,G.Delacour,39570,[],"[8, 8, 'D', 0]",4.6,4.9,4,77.66666666666667
9,26,VINCENNES, 14h20,1 Jan,40000,2700,11,gauche,8,11,1,Avril Peccau,M,6,deferre_posterieurs,Ph.Masschaele,J.f.Johner,28316,[],"[0, 2, 'D', 2]",33,68,False,False
